epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,6533.6,0.67287,0.45271,1.29974,0.9732,0.96524,0.984,0.8801,0.55936,0.40045,1.65565,0.000594321,0.000594321,0.000594321
61,6642.14,0.67793,0.45647,1.31291,0.96393,0.97606,0.98386,0.88096,0.57235,0.40417,1.54595,0.000580174,0.000580174,0.000580174
62,6749.15,0.66603,0.44421,1.27596,0.97009,0.97473,0.9857,0.8886,0.53999,0.38375,1.81242,0.000566027,0.000566027,0.000566027
63,6856.54,0.6596,0.44341,1.28181,0.97657,0.96978,0.98636,0.88484,0.56462,0.39438,1.60461,0.00055188,0.00055188,0.00055188
64,6963.41,0.65295,0.43906,1.28676,0.96497,0.97456,0.98593,0.88975,0.54255,0.38859,1.65988,0.000537733,0.000537733,0.000537733
65,7070.95,0.66197,0.44899,1.29716,0.96959,0.97749,0.98492,0.88622,0.56081,0.39848,1.57663,0.000523586,0.000523586,0.000523586
66,7178.17,0.6364,0.43364,1.24394,0.97063,0.97944,0.98593,0.89335,0.53547,0.37855,1.81926,0.000509438,0.000509438,0.000509438
67,7284.44,0.65348,0.44332,1.30644,0.97821,0.97239,0.98659,0.88811,0.54882,0.38941,1.65862,0.000495291,0.000495291,0.000495291
68,7392,0.66569,0.44434,1.31348,0.98228,0.9635,0.98716,0.89527,0.53247,0.37467,1.96701,0.000481144,0.000481144,0.000481144
69,7498.66,0.65107,0.44097,1.3112,0.97003,0.97769,0.98689,0.89066,0.54127,0.38197,1.61031,0.000466997,0.000466997,0.000466997
70,7605.26,0.66512,0.44364,1.30306,0.97541,0.97087,0.98816,0.89165,0.54403,0.38452,1.58225,0.00045285,0.00045285,0.00045285
71,7712.38,0.65716,0.43883,1.29032,0.97542,0.9716,0.98849,0.89562,0.53127,0.37633,1.77431,0.000438703,0.000438703,0.000438703
72,7820.38,0.64601,0.43062,1.26912,0.9729,0.97555,0.98801,0.89483,0.5332,0.37766,1.70305,0.000424556,0.000424556,0.000424556
73,7927.33,0.63898,0.42997,1.27505,0.97893,0.97141,0.98684,0.89396,0.53688,0.37563,1.70571,0.000410409,0.000410409,0.000410409
74,8035.07,0.63566,0.42807,1.25774,0.9707,0.97502,0.98558,0.89229,0.53369,0.37543,1.70851,0.000396262,0.000396262,0.000396262
75,8142.69,0.63129,0.42511,1.25458,0.97539,0.97003,0.98568,0.89416,0.53038,0.37219,1.7491,0.000382115,0.000382115,0.000382115
76,8249.84,0.62621,0.42098,1.24619,0.97744,0.9697,0.98574,0.89159,0.54335,0.38182,1.57401,0.000367967,0.000367967,0.000367967
77,8357.09,0.63526,0.42443,1.2713,0.98089,0.97707,0.98777,0.89552,0.53908,0.3777,1.63687,0.00035382,0.00035382,0.00035382
78,8463.64,0.64005,0.42299,1.28792,0.97855,0.97903,0.98701,0.89374,0.53146,0.3716,1.59585,0.000339673,0.000339673,0.000339673
79,8570.94,0.62711,0.4229,1.2384,0.98492,0.9731,0.98751,0.89619,0.52329,0.36655,1.64464,0.000325526,0.000325526,0.000325526
80,8677.55,0.62562,0.41681,1.24332,0.98183,0.97758,0.98733,0.89909,0.50715,0.3573,1.81645,0.000311379,0.000311379,0.000311379
81,8785.2,0.63146,0.42157,1.24789,0.97913,0.97642,0.98648,0.89507,0.52278,0.36273,1.76481,0.000297232,0.000297232,0.000297232
82,8892.2,0.64276,0.41759,1.27806,0.98112,0.97521,0.9869,0.89891,0.51494,0.35919,1.7619,0.000283085,0.000283085,0.000283085
83,8999.95,0.64229,0.4263,1.27181,0.97809,0.97455,0.98619,0.89572,0.52317,0.36813,1.62795,0.000268938,0.000268938,0.000268938
84,9107.97,0.62808,0.42114,1.25798,0.96844,0.9866,0.98852,0.89559,0.53959,0.37404,1.50657,0.000254791,0.000254791,0.000254791
85,9215.04,0.62614,0.41898,1.24852,0.97057,0.97797,0.98755,0.89639,0.52979,0.37276,1.50069,0.000240644,0.000240644,0.000240644
86,9322.35,0.6239,0.41758,1.24922,0.97085,0.98479,0.98784,0.89745,0.52959,0.36777,1.58474,0.000226497,0.000226497,0.000226497
87,9429.32,0.60987,0.40982,1.22481,0.97151,0.98639,0.98731,0.89638,0.52304,0.36737,1.58568,0.000212349,0.000212349,0.000212349
88,9536.36,0.61534,0.41447,1.22825,0.97589,0.98487,0.98779,0.89957,0.51706,0.36452,1.63991,0.000198202,0.000198202,0.000198202
89,9643.88,0.62202,0.41782,1.24027,0.97704,0.98659,0.98763,0.90453,0.49561,0.35111,1.96333,0.000184055,0.000184055,0.000184055
90,9750.97,0.61802,0.41824,1.28598,0.97721,0.98276,0.98767,0.90363,0.50057,0.35695,1.79113,0.000169908,0.000169908,0.000169908
91,9854.56,0.51434,0.35466,1.103,0.97904,0.97935,0.98816,0.89982,0.52357,0.36657,1.61784,0.000155761,0.000155761,0.000155761
92,9957.79,0.51662,0.3527,1.10235,0.97292,0.98278,0.98809,0.89812,0.5241,0.371,1.59534,0.000141614,0.000141614,0.000141614
93,10061.6,0.50671,0.34759,1.08994,0.97866,0.97868,0.98757,0.89918,0.51995,0.36937,1.62079,0.000127467,0.000127467,0.000127467
94,10164.8,0.50566,0.34426,1.09144,0.97047,0.9884,0.98745,0.90276,0.50815,0.36607,1.66075,0.00011332,0.00011332,0.00011332
95,10268.5,0.5036,0.3409,1.10325,0.97539,0.98482,0.98748,0.90232,0.50727,0.36474,1.62944,9.91726e-05,9.91726e-05,9.91726e-05
96,10372.5,0.51034,0.34171,1.09377,0.97033,0.98881,0.98801,0.90359,0.51601,0.36578,1.61854,8.50255e-05,8.50255e-05,8.50255e-05
97,10476.2,0.50459,0.33939,1.08156,0.97015,0.98198,0.98765,0.90504,0.50428,0.36372,1.63717,7.08784e-05,7.08784e-05,7.08784e-05
98,10579.9,0.49506,0.33823,1.07987,0.97534,0.98242,0.9874,0.904,0.49993,0.36031,1.70645,5.67313e-05,5.67313e-05,5.67313e-05
99,10683.4,0.49187,0.33496,1.08204,0.978,0.98211,0.98751,0.90545,0.49658,0.35617,1.75197,4.25842e-05,4.25842e-05,4.25842e-05
100,10787.2,0.50214,0.33891,1.078,0.97794,0.98174,0.98734,0.90619,0.49802,0.35533,1.76787,2.84371e-05,2.84371e-05,2.84371e-05
